,SpringFR,SpringFL,SpringRR,SpringRL,WishboneTargetFR,WishboneTargetFL,WishboneRRTarget,WishboneRLTarget,turn_right,turn_left,state
5723,0.785588264,1.3,1.3,0.767641962,0.07711491,-0.07032265,-0.166256458,0.05083114,False,True,abnormal
5728,0.797158957,1.3,1.3,0.7757351,0.07523778,-0.06553352,-0.166255653,0.048951745,False,True,abnormal
5726,0.785588264,1.3,1.3,0.767641962,0.07711491,-0.07032265,-0.166256458,0.05083114,False,True,abnormal
5727,0.797158957,1.3,1.3,0.7757351,0.07523778,-0.06553352,-0.166255653,0.048951745,False,True,abnormal
5729,0.797158957,1.3,1.3,0.7757351,0.07523778,-0.06553352,-0.166255653,0.048951745,False,True,abnormal
5730,0.797158957,1.3,1.3,0.7757351,0.07523778,-0.06553352,-0.166255653,0.048951745,False,True,abnormal
5732,0.807518244,1.294817,1.3,0.782366455,0.07359657,-0.0611341149,-0.166257024,0.0474053323,False,True,abnormal
5733,0.807518244,1.294817,1.3,0.782366455,0.07359657,-0.0611341149,-0.166257024,0.0474053323,False,True,abnormal
5731,0.807518244,1.294817,1.3,0.782366455,0.07359657,-0.0611341149,-0.166257024,0.0474053323,False,True,abnormal
5734,0.807518244,1.294817,1.3,0.782366455,0.07359657,-0.0611341149,-0.166257024,0.0474053323,False,True,abnormal
5736,0.807518244,1.294817,1.3,0.782366455,0.07359657,-0.0611341149,-0.166257024,0.0474053323,False,True,abnormal
5737,0.8171325,1.28424859,1.3,0.7873303,0.0720004439,-0.0571263731,-0.166256636,0.0462831259,False,True,abnormal
5735,0.807518244,1.294817,1.3,0.782366455,0.07359657,-0.0611341149,-0.166257024,0.0474053323,False,True,abnormal
5738,0.8171325,1.28424859,1.3,0.7873303,0.0720004439,-0.0571263731,-0.166256636,0.0462831259,False,True,abnormal
5739,0.8171325,1.28424859,1.3,0.7873303,0.0720004439,-0.0571263731,-0.166256636,0.0462831259,False,True,abnormal
5740,0.8171325,1.28424859,1.3,0.7873303,0.0720004439,-0.0571263731,-0.166256636,0.0462831259,False,True,abnormal
5741,0.8171325,1.28424859,1.3,0.7873303,0.0720004439,-0.0571263731,-0.166256636,0.0462831259,False,True,abnormal
5742,0.8263806,1.27479315,1.3,0.7906031,0.07035717,-0.0535053164,-0.166257247,0.0456028581,False,True,abnormal
5743,0.8263806,1.27479315,1.3,0.7906031,0.07035717,-0.0535053164,-0.166257247,0.0456028581,False,True,abnormal
5745,0.8263806,1.27479315,1.3,0.7906031,0.07035717,-0.0535053164,-0.166257247,0.0456028581,False,True,abnormal
5744,0.8263806,1.27479315,1.3,0.7906031,0.07035717,-0.0535053164,-0.166257247,0.0456028581,False,True,abnormal
5746,0.8263806,1.27479315,1.3,0.7906031,0.07035717,-0.0535053164,-0.166257247,0.0456028581,False,True,abnormal
5747,0.8263806,1.27479315,1.3,0.7906031,0.07035717,-0.0535053164,-0.166257247,0.0456028581,False,True,abnormal
5751,0.83676517,1.257062,1.3,0.7933045,0.06831199,-0.0414773822,-0.166256234,0.04511255,False,True,abnormal
5748,0.83676517,1.257062,1.3,0.7933045,0.06831199,-0.0414773822,-0.166256234,0.04511255,False,True,abnormal
5749,0.83676517,1.257062,1.3,0.7933045,0.06831199,-0.0414773822,-0.166256234,0.04511255,False,True,abnormal
5750,0.83676517,1.257062,1.3,0.7933045,0.06831199,-0.0414773822,-0.166256234,0.04511255,False,True,abnormal
5753,0.847397566,1.23742461,1.3,0.794933,0.06593773,-0.03596896,-0.166255414,0.04474479,False,True,abnormal
5754,0.847397566,1.23742461,1.3,0.794933,0.06593773,-0.03596896,-0.166255414,0.04474479,False,True,abnormal
5752,0.847397566,1.23742461,1.3,0.794933,0.06593773,-0.03596896,-0.166255414,0.04474479,False,True,abnormal
5755,0.847397566,1.23742461,1.3,0.794933,0.06593773,-0.03596896,-0.166255414,0.04474479,False,True,abnormal
5756,0.847397566,1.23742461,1.3,0.794933,0.06593773,-0.03596896,-0.166255414,0.04474479,False,True,abnormal
5757,0.847397566,1.23742461,1.3,0.794933,0.06593773,-0.03596896,-0.166255414,0.04474479,False,True,abnormal
5759,0.8581686,1.22246027,1.3,0.79555124,0.0633765459,-0.0315758,-0.166256577,0.04462278,False,True,abnormal
5758,0.8581686,1.22246027,1.3,0.79555124,0.0633765459,-0.0315758,-0.166256577,0.04462278,False,True,abnormal
5760,0.8581686,1.22246027,1.3,0.79555124,0.0633765459,-0.0315758,-0.166256577,0.04462278,False,True,abnormal
5763,0.8781686,1.20673966,1.3,0.8072669,0.033397615,-0.0274412632,-0.16625759,0.04215604,False,True,abnormal
5761,0.8581686,1.22246027,1.3,0.79555124,0.0633765459,-0.0315758,-0.166256577,0.04462278,False,True,abnormal
5764,0.8781686,1.20673966,1.3,0.8072669,0.033397615,-0.0274412632,-0.16625759,0.04215604,False,True,abnormal
5762,0.8781686,1.20673966,1.3,0.8072669,0.033397615,-0.0274412632,-0.16625759,0.04215604,False,True,abnormal
5765,0.8781686,1.20673966,1.3,0.8072669,0.033397615,-0.0274412632,-0.16625759,0.04215604,False,True,abnormal
5767,0.8781686,1.20673966,1.3,0.8072669,0.033397615,-0.0274412632,-0.16625759,0.04215604,False,True,abnormal
5768,0.898168564,1.18711233,1.3,0.8199946,0.0211058855,-0.02311179,-0.166255862,0.03894198,False,True,abnormal
5766,0.8781686,1.20673966,1.3,0.8072669,0.033397615,-0.0274412632,-0.16625759,0.04215604,False,True,abnormal
5769,0.898168564,1.18711233,1.3,0.8199946,0.0211058855,-0.02311179,-0.166255862,0.03894198,False,True,abnormal
5771,0.898168564,1.18711233,1.3,0.8199946,0.0211058855,-0.02311179,-0.166255862,0.03894198,False,True,abnormal
5772,0.898168564,1.18711233,1.3,0.8199946,0.0211058855,-0.02311179,-0.166255862,0.03894198,False,True,abnormal
5773,0.918168545,1.16773939,1.3,0.8318381,0.0105313063,-0.0187653,-0.166256249,0.0360596776,False,True,abnormal
5770,0.898168564,1.18711233,1.3,0.8199946,0.0211058855,-0.02311179,-0.166255862,0.03894198,False,True,abnormal
5774,0.918168545,1.16773939,1.3,0.8318381,0.0105313063,-0.0187653,-0.166256249,0.0360596776,False,True,abnormal
5776,0.918168545,1.16773939,1.3,0.8318381,0.0105313063,-0.0187653,-0.166256249,0.0360596776,False,True,abnormal
5775,0.918168545,1.16773939,1.3,0.8318381,0.0105313063,-0.0187653,-0.166256249,0.0360596776,False,True,abnormal
5778,0.9381685,1.14885092,1.3,0.842122853,0.00164476037,-0.0146513581,-0.166256487,0.033580184,False,True,abnormal
5777,0.918168545,1.16773939,1.3,0.8318381,0.0105313063,-0.0187653,-0.166256249,0.0360596776,False,True,abnormal
5779,0.9381685,1.14885092,1.3,0.842122853,0.00164476037,-0.0146513581,-0.166256487,0.033580184,False,True,abnormal
5781,0.9381685,1.14885092,1.3,0.842122853,0.00164476037,-0.0146513581,-0.166256487,0.033580184,False,True,abnormal
5782,0.9381685,1.14885092,1.3,0.842122853,0.00164476037,-0.0146513581,-0.166256487,0.033580184,False,True,abnormal
5780,0.9381685,1.14885092,1.3,0.842122853,0.00164476037,-0.0146513581,-0.166256487,0.033580184,False,True,abnormal
5783,0.9581685,1.13173127,1.3,0.85055083,-0.00560975075,-0.010874778,-0.16625765,0.0315526724,False,True,abnormal
5785,0.9581685,1.13173127,1.3,0.85055083,-0.00560975075,-0.010874778,-0.16625765,0.0315526724,False,True,abnormal
5787,0.9581685,1.13173127,1.3,0.85055083,-0.00560975075,-0.010874778,-0.16625765,0.0315526724,False,True,abnormal
5784,0.9581685,1.13173127,1.3,0.85055083,-0.00560975075,-0.010874778,-0.16625765,0.0315526724,False,True,abnormal
5786,0.9581685,1.13173127,1.3,0.85055083,-0.00560975075,-0.010874778,-0.16625765,0.0315526724,False,True,abnormal
