,SpringFR,SpringFL,SpringRR,SpringRL,WishboneTargetFR,WishboneTargetFL,WishboneRRTarget,WishboneRLTarget,turn_right,turn_left
6934,1.023984,1.04521108,0.9877922,1.00901818,-0.000456422567,-0.005736023,-0.0155973881,-0.006129116,False,False
6935,1.023984,1.04521108,0.9877922,1.00901818,-0.000456422567,-0.005736023,-0.0155973881,-0.006129116,False,False
6936,1.02560043,1.0443368,0.988522232,1.00725865,-0.000878199935,-0.00556954741,-0.0158115774,-0.00570935,False,False
6937,1.02560043,1.0443368,0.988522232,1.00725865,-0.000878199935,-0.00556954741,-0.0158115774,-0.00570935,False,False
6938,1.02560043,1.0443368,0.988522232,1.00725865,-0.000878199935,-0.00556954741,-0.0158115774,-0.00570935,False,False
6941,1.02699733,1.04360628,0.9891698,1.00577879,-0.001259923,-0.00547876954,-0.015998438,-0.005359262,False,False
6939,1.02699733,1.04360628,0.9891698,1.00577879,-0.001259923,-0.00547876954,-0.015998438,-0.005359262,False,False
6940,1.02699733,1.04360628,0.9891698,1.00577879,-0.001259923,-0.00547876954,-0.015998438,-0.005359262,False,False
6942,1.02818012,1.0430119,0.9897315,1.00456333,-0.00159968436,-0.00539854169,-0.0161583424,-0.005074322,False,False
6943,1.02818012,1.0430119,0.9897315,1.00456333,-0.00159968436,-0.00539854169,-0.0161583424,-0.005074322,False,False
6944,1.02818012,1.0430119,0.9897315,1.00456333,-0.00159968436,-0.00539854169,-0.0161583424,-0.005074322,False,False
6945,1.02916241,1.04253674,0.9902105,1.0035851,-0.00188402832,-0.00527919829,-0.0162930787,-0.00484696031,False,False
6948,1.02947283,1.041666,0.9917721,1.00396514,-0.00203812122,-0.005058065,-0.0165035129,-0.004766524,False,False
6946,1.02916241,1.04253674,0.9902105,1.0035851,-0.00188402832,-0.00527919829,-0.0162930787,-0.00484696031,False,False
6947,1.02916241,1.04253674,0.9902105,1.0035851,-0.00188402832,-0.00527919829,-0.0162930787,-0.00484696031,False,False
6949,1.02947283,1.041666,0.9917721,1.00396514,-0.00203812122,-0.005058065,-0.0165035129,-0.004766524,False,False
6950,1.02947283,1.041666,0.9917721,1.00396514,-0.00203812122,-0.005058065,-0.0165035129,-0.004766524,False,False
6951,1.02902293,1.04026985,0.994423568,1.00567031,-0.00184684992,-0.00457316637,-0.0171043724,-0.005136013,False,False
6952,1.02902293,1.04026985,0.994423568,1.00567031,-0.00184684992,-0.00457316637,-0.0171043724,-0.005136013,False,False
6954,1.02801347,1.03850675,0.997635543,1.00812864,-0.00145044923,-0.00397023559,-0.0178755969,-0.00572443,False,False
6953,1.02902293,1.04026985,0.994423568,1.00567031,-0.00184684992,-0.00457316637,-0.0171043724,-0.005136013,False,False
6955,1.02801347,1.03850675,0.997635543,1.00812864,-0.00145044923,-0.00397023559,-0.0178755969,-0.00572443,False,False
6956,1.02801347,1.03850675,0.997635543,1.00812864,-0.00145044923,-0.00397023559,-0.0178755969,-0.00572443,False,False
6957,1.026628,1.03651881,1.00101972,1.010911,-0.0009544492,-0.00334917,-0.0186751932,-0.006378591,False,False
6958,1.026628,1.03651881,1.00101972,1.010911,-0.0009544492,-0.00334917,-0.0186751932,-0.006378591,False,False
6959,1.026628,1.03651881,1.00101972,1.010911,-0.0009544492,-0.00334917,-0.0186751932,-0.006378591,False,False
6960,1.02504516,1.03444743,1.00426269,1.0136652,-0.000424295664,-0.002751723,-0.0194332,-0.00701925159,False,False
6961,1.02504516,1.03444743,1.00426269,1.0136652,-0.000424295664,-0.002751723,-0.0194332,-0.00701925159,False,False
6962,1.02504516,1.03444743,1.00426269,1.0136652,-0.000424295664,-0.002751723,-0.0194332,-0.00701925159,False,False
6963,1.02347636,1.03247046,1.00702024,1.01601481,7.909536e-05,-0.00220528245,-0.02008541,-0.007573575,False,False
6964,1.02347636,1.03247046,1.00702024,1.01601481,7.909536e-05,-0.00220528245,-0.02008541,-0.007573575,False,False
6965,1.02347636,1.03247046,1.00702024,1.01601481,7.909536e-05,-0.00220528245,-0.02008541,-0.007573575,False,False
6966,1.02347636,1.03247046,1.00702024,1.01601481,7.909536e-05,-0.00220528245,-0.02008541,-0.007573575,False,False
6967,1.022049,1.030689,1.00918484,1.01782489,0.000498741865,-0.00173589587,-0.02056989,-0.007972479,False,False
6968,1.022049,1.030689,1.00918484,1.01782489,0.000498741865,-0.00173589587,-0.02056989,-0.007972479,False,False
6969,1.02075815,1.02907467,1.01090646,1.0192225,0.000850901,-0.00130747259,-0.0209340453,-0.008258462,False,False
6970,1.02075815,1.02907467,1.01090646,1.0192225,0.000850901,-0.00130747259,-0.0209340453,-0.008258462,False,False
6971,1.02075815,1.02907467,1.01090646,1.0192225,0.000850901,-0.00130747259,-0.0209340453,-0.008258462,False,False
6972,1.01961374,1.02762032,1.012265,1.020272,0.00115865469,-0.000893116,-0.021222651,-0.00847134,False,False
6973,1.01961374,1.02762032,1.012265,1.020272,0.00115865469,-0.000893116,-0.021222651,-0.00847134,False,False
6974,1.01961374,1.02762032,1.012265,1.020272,0.00115865469,-0.000893116,-0.021222651,-0.00847134,False,False
6977,1.01861382,1.02631187,1.01334929,1.02104688,0.00142732263,-0.0004963726,-0.0214515179,-0.008624405,False,False
6975,1.01861382,1.02631187,1.01334929,1.02104688,0.00142732263,-0.0004963726,-0.0214515179,-0.008624405,False,False
6976,1.01861382,1.02631187,1.01334929,1.02104688,0.00142732263,-0.0004963726,-0.0214515179,-0.008624405,False,False
6978,1.01775956,1.02514076,1.0142169,1.02159834,0.00166262686,-0.000127926469,-0.0216387063,-0.008733064,False,False
6980,1.01775956,1.02514076,1.0142169,1.02159834,0.00166262686,-0.000127926469,-0.0216387063,-0.008733064,False,False
6981,1.017065,1.024117,1.01487947,1.02193189,0.00186099112,0.000192761421,-0.0217888951,-0.008801371,False,False
6979,1.01775956,1.02514076,1.0142169,1.02159834,0.00166262686,-0.000127926469,-0.0216387063,-0.008733064,False,False
6982,1.017065,1.024117,1.01487947,1.02193189,0.00186099112,0.000192761421,-0.0217888951,-0.008801371,False,False
6983,1.017065,1.024117,1.01487947,1.02193189,0.00186099112,0.000192761421,-0.0217888951,-0.008801371,False,False
6984,1.01654172,1.02325034,1.01534915,1.022058,0.00201244652,0.000444933772,-0.0218984932,-0.008824855,False,False
6985,1.01654172,1.02325034,1.01534915,1.022058,0.00201244652,0.000444933772,-0.0218984932,-0.008824855,False,False
6986,1.01654172,1.02325034,1.01534915,1.022058,0.00201244652,0.000444933772,-0.0218984932,-0.008824855,False,False
6987,1.01619029,1.02254081,1.01564932,1.02199936,0.002112031,0.000620543957,-0.0219711661,-0.00880751,False,False
6988,1.01619029,1.02254081,1.01564932,1.02199936,0.002112031,0.000620543957,-0.0219711661,-0.00880751,False,False
6989,1.0159831,1.02196288,1.01584291,1.02182317,0.00216014683,0.0007251501,-0.0220168829,-0.008760005,False,False
6990,1.0159831,1.02196288,1.01584291,1.02182317,0.00216014683,0.0007251501,-0.0220168829,-0.008760005,False,False
6991,1.0159831,1.02196288,1.01584291,1.02182317,0.00216014683,0.0007251501,-0.0220168829,-0.008760005,False,False
6992,1.01588726,1.02148724,1.01599121,1.02159142,0.00216799974,0.0007825047,-0.02205415,-0.008701533,False,False
6993,1.01588726,1.02148724,1.01599121,1.02159142,0.00216799974,0.0007825047,-0.02205415,-0.008701533,False,False
6994,1.01588726,1.02148724,1.01599121,1.02159142,0.00216799974,0.0007825047,-0.02205415,-0.008701533,False,False
6995,1.01586986,1.02108479,1.01614285,1.02135754,0.00214687,0.0008172095,-0.0220955163,-0.008645594,False,False
6997,1.01586986,1.02108479,1.01614285,1.02135754,0.00214687,0.0008172095,-0.0220955163,-0.008645594,False,False
6998,1.01590085,1.02073,1.01632762,1.021157,0.002108246,0.0008522719,-0.0221483111,-0.00860104,False,False
6996,1.01586986,1.02108479,1.01614285,1.02135754,0.00214687,0.0008172095,-0.0220955163,-0.008645594,False,False
6999,1.01590085,1.02073,1.01632762,1.021157,0.002108246,0.0008522719,-0.0221483111,-0.00860104,False,False
7000,1.01590085,1.02073,1.01632762,1.021157,0.002108246,0.0008522719,-0.0221483111,-0.00860104,False,False
7002,1.01597762,1.02042484,1.01652646,1.02097321,0.00206044316,0.0008997172,-0.0222121924,-0.00856819749,False,False
7001,1.01597762,1.02042484,1.01652646,1.02097321,0.00206044316,0.0008997172,-0.0222121924,-0.00856819749,False,False
7003,1.01597762,1.02042484,1.01652646,1.02097321,0.00206044316,0.0008997172,-0.0222121924,-0.00856819749,False,False
7004,1.016108,1.02017975,1.01669955,1.02077079,0.0020018667,0.0009571463,-0.022273317,-0.008534521,False,False
7005,1.016108,1.02017975,1.01669955,1.02077079,0.0020018667,0.0009571463,-0.022273317,-0.008534521,False,False
7006,1.016108,1.02017975,1.01669955,1.02077079,0.0020018667,0.0009571463,-0.022273317,-0.008534521,False,False
7007,1.01629639,1.02000308,1.016818,1.02052522,0.00193205476,0.00101788342,-0.0223212689,-0.008490711,False,False
7008,1.01629639,1.02000308,1.016818,1.02052522,0.00193205476,0.00101788342,-0.0223212689,-0.008490711,False,False
7011,1.01654172,1.01989794,1.01686859,1.020225,0.00185202062,0.00107255578,-0.022352308,-0.008433312,False,False
7009,1.01629639,1.02000308,1.016818,1.02052522,0.00193205476,0.00101788342,-0.0223212689,-0.008490711,False,False
7012,1.01684,1.0198617,1.01685238,1.01987433,0.00176382065,0.00111302733,-0.022366032,-0.008362591,False,False
7010,1.01654172,1.01989794,1.01686859,1.020225,0.00185202062,0.00107255578,-0.022352308,-0.008433312,False,False
7013,1.01684,1.0198617,1.01685238,1.01987433,0.00176382065,0.00111302733,-0.022366032,-0.008362591,False,False
7014,1.01684,1.0198617,1.01685238,1.01987433,0.00176382065,0.00111302733,-0.022366032,-0.008362591,False,False
7015,1.01718116,1.01988626,1.01677418,1.01947951,0.00166843832,0.00112964213,-0.0223644525,-0.00828144,False,False
7016,1.01718116,1.01988626,1.01677418,1.01947951,0.00166843832,0.00112964213,-0.0223644525,-0.00828144,False,False
7017,1.01718116,1.01988626,1.01677418,1.01947951,0.00166843832,0.00112964213,-0.0223644525,-0.00828144,False,False
7018,1.01754761,1.01995635,1.0166595,1.01906753,0.00156773627,0.00111719966,-0.0223516673,-0.00819399953,False,False
7019,1.01754761,1.01995635,1.0166595,1.01906753,0.00156773627,0.00111719966,-0.0223516673,-0.00819399953,False,False
7020,1.01790237,1.02003479,1.01656532,1.01869774,0.00146718323,0.00107978284,-0.0223391056,-0.008111864,False,False
7021,1.01790237,1.02003479,1.01656532,1.01869774,0.00146718323,0.00107978284,-0.0223391056,-0.008111864,False,False
7022,1.01790237,1.02003479,1.01656532,1.01869774,0.00146718323,0.00107978284,-0.0223391056,-0.008111864,False,False
7023,1.01822042,1.02009749,1.01652169,1.01839852,0.00137642026,0.0010291934,-0.0223409981,-0.008049816,False,False
7024,1.01822042,1.02009749,1.01652169,1.01839852,0.00137642026,0.0010291934,-0.0223409981,-0.008049816,False,False
7025,1.01848221,1.02012515,1.01654744,1.01818991,0.00129729509,0.0009739995,-0.0223598331,-0.008009732,False,False
7026,1.01848221,1.02012515,1.01654744,1.01818991,0.00129729509,0.0009739995,-0.0223598331,-0.008009732,False,False
7027,1.01848221,1.02012515,1.01654744,1.01818991,0.00129729509,0.0009739995,-0.0223598331,-0.008009732,False,False
7028,1.01867843,1.02010822,1.01664,1.01806974,0.00123281777,0.0009251535,-0.0223965645,-0.00799304247,False,False
7029,1.01867843,1.02010822,1.01664,1.01806974,0.00123281777,0.0009251535,-0.0223965645,-0.00799304247,False,False
7030,1.01867843,1.02010822,1.01664,1.01806974,0.00123281777,0.0009251535,-0.0223965645,-0.00799304247,False,False
7031,1.01880383,1.020041,1.016798,1.01803565,0.00118300319,0.000890061259,-0.0224482268,-0.0079965,False,False
7032,1.01880383,1.020041,1.016798,1.01803565,0.00118300319,0.000890061259,-0.0224482268,-0.0079965,False,False
7033,1.01880383,1.020041,1.016798,1.01803565,0.00118300319,0.000890061259,-0.0224482268,-0.0079965,False,False
7034,1.01885343,1.0199182,1.01701927,1.01808381,0.00115042925,0.0008764416,-0.0225141048,-0.00801903,False,False
7035,1.01885343,1.0199182,1.01701927,1.01808381,0.00115042925,0.0008764416,-0.0225141048,-0.00801903,False,False
7036,1.0188272,1.01973653,1.01729679,1.0182066,0.001136601,0.000889912248,-0.0225932747,-0.008059651,False,False
7037,1.0188272,1.01973653,1.01729679,1.0182066,0.001136601,0.000889912248,-0.0225932747,-0.008059651,False,False
7038,1.0188272,1.01973653,1.01729679,1.0182066,0.001136601,0.000889912248,-0.0225932747,-0.008059651,False,False
7039,1.01875615,1.01952815,1.01756811,1.01833987,0.00113929808,0.000928580761,-0.0226783,-0.008110076,False,False
7040,1.01875615,1.01952815,1.01756811,1.01833987,0.00113929808,0.000928580761,-0.0226783,-0.008110076,False,False
7041,1.01875615,1.01952815,1.01756811,1.01833987,0.00113929808,0.000928580761,-0.0226783,-0.008110076,False,False
